,price_USD,revenue,publisherClass
842,9.99,36654.0,Indie
843,10.99,36626.0,Indie
844,7.99,36601.0,Indie
845,6.99,36460.0,Indie
846,19.99,36435.0,Indie
847,19.99,36294.0,Indie
848,3.99,36224.0,Indie
849,4.99,36165.0,AAA
850,19.99,36163.0,Indie
851,6.99,36125.0,Indie
852,17.99,36030.0,Indie
853,14.99,36029.0,Indie
854,24.99,36009.0,Indie
855,39.99,35903.0,Indie
856,11.99,35878.0,Indie
857,24.99,35867.0,Indie
858,3.99,35719.0,Indie
859,19.99,35571.0,Indie
860,19.99,35330.0,Indie
861,19.99,35298.0,Indie
862,19.99,35271.0,Indie
863,5.99,35198.0,Indie
864,12.99,35181.0,Indie
865,9.99,35119.0,Indie
866,54.99,34638.0,Indie
867,2.99,34570.0,Indie
868,14.99,34538.0,Indie
869,29.99,34480.0,Indie
870,22.99,34423.0,Indie
871,9.99,34177.0,Indie
872,12.99,34147.0,Indie
873,15.99,34137.0,Indie
874,2.99,34019.0,Indie
875,19.99,33913.0,Indie
876,14.99,33771.0,Indie
877,16.99,33220.0,Indie
878,24.99,33085.0,Indie
879,10.99,33040.0,Indie
880,29.99,32967.0,Indie
881,9.99,32913.0,Indie
882,13.99,32895.0,Indie
883,14.99,32789.0,Indie
884,4.99,32753.0,Indie
885,11.99,32723.0,Indie
886,0.0,32631.0,Indie
887,4.99,32631.0,Indie
888,18.99,32506.0,Indie
889,39.99,32480.0,Indie
890,6.99,32472.0,Indie
891,11.99,32365.0,Indie
892,25.5,32198.0,Indie
893,2.99,32166.0,Indie
894,12.99,32128.0,Indie
895,59.99,32016.0,AA
896,14.99,31842.0,Indie
897,19.99,31754.0,Indie
898,14.99,31678.0,Indie
899,14.99,31644.0,Indie
900,34.99,31543.0,Indie
901,4.99,31466.0,Indie
902,6.99,31464.0,Indie
903,8.99,31353.0,Indie
904,6.99,31301.0,Indie
905,9.99,31198.0,Indie
906,9.99,31098.0,Indie
907,9.99,31098.0,Indie
908,14.99,31003.0,Indie
909,9.99,30951.0,Indie
910,7.99,30948.0,Indie
911,9.99,30925.0,Indie
912,3.99,30878.0,Indie
913,0.0,30820.0,Indie
914,14.99,30759.0,Indie
915,14.99,30652.0,Indie
916,14.99,30558.0,Indie
917,14.99,30498.0,Indie
918,6.99,30419.0,Indie
919,9.99,30243.0,AAA
920,4.99,30192.0,Indie
921,14.99,30160.0,Indie
922,12.99,30108.0,Indie
923,7.99,30099.0,Indie
924,18.99,29857.0,Indie
925,11.99,29843.0,Indie
