game_name;steam_id;required_age;is_free;description;languages;developers;publishers;release_date;price;metacritic_score;genres;categories;release_date_2
I Wani Hug that Gator!;1895350;0;False;I Wani Hug that Gator! Is a choice-driven narrative about teenagers struggling to find their way. Help Inco, loser highschooler extraordinaire, navigate his budding friendships (and romance!) while surviving being the only human in a dinosaur-filled school.;English, Spanish - Spain, Spanish - Latin America, Polish, Russian, Swedish;Cavemanon;Cavemanon;{'coming_soon': False, 'date': '14 Feb, 2024'};£12.79;;Casual, Indie;Single-player, Partial Controller Support, Family Sharing;
Corpse Keeper;1601740;0;False;Corpse Keeper is a very challenging action-strategy roguelite. You'll need to lead a squad of three corpses to explore the grim and dark medieval world within limited time, build a powerful army of the living dead, and finally kill the demon lurking in the deep end of the cathedral.;English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Traditional Chinese;Melancholia Studio;Thermite Games;{'coming_soon': False, 'date': '28 May, 2024'};£16.75;;Action, Adventure, Indie, RPG, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
SILENT BREATH;2796180;0;False;Unpredictable horrors lurk around every corner, forcing you to find the missing people while desperately clinging to survival. In this experience even your own mind can become your enemy. Stay vigilant and keep your voice hushed, or risk becoming another victim of the forest's darkness;English, Japanese, German, Russian, Turkish, Portuguese - Portugal, French, Italian, Spanish - Spain, Simplified Chinese;EXODIAC STUDIOS;EXODIAC STUDIOS;{'coming_soon': False, 'date': '5 Apr, 2024'};£8.50;;Adventure, Indie, Simulation, Early Access;Single-player, Steam Achievements, Full controller support, Family Sharing;
Romantic Escapades;2897760;0;False;"&quot;Romantic Escapades&quot; is an ancient Chinese love simulation game. Through the development of the plot, players gradually develop relationships with various beauties in the game, and then gradually develop deeper and deeper intimate relationships.";Simplified Chinese, Traditional Chinese, English;蠑螈;蠑螈;{'coming_soon': False, 'date': '2 Aug, 2024'};£16.75;;RPG, Early Access;Single-player, Steam Cloud, Family Sharing;
9-Bit Armies: A Bit Too Far;1439750;0;False;Unleash voxel warfare in 9-Bit Armies: A Bit Too Far. Lead a modern military, build bases, unlock units, and attack in all-out war. Engage on land, sea and air in over two dozen missions, online skirmishes, or co-op. Easy to learn, a challenge to master.;English, French, Italian, German, Spanish - Spain, Simplified Chinese, Dutch, Norwegian, Polish, Russian, Swedish;Petroglyph;Petroglyph;{'coming_soon': False, 'date': '26 Aug, 2024'};£16.75;;Action, Indie, Simulation, Strategy;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing;
An alt girl for skoof;2901520;0;False;"There is a rumor that any skuf can legally receive a fee alt girl from the state; to do this, you just need to log in to a special service and enter your personal data.";Russian, English;Terletski Games, RIKANIMATION;Terletski Games;{'coming_soon': False, 'date': '21 Apr, 2024'};£4.29;;Casual, Indie;Single-player, Steam Achievements, Family Sharing;
Remnant Records;1916310;0;False;Remnant Records is a horror investigation game for 1 to 4 players. Explore places haunted by the dead, survive elaborate and unique ghosts and find out what happened to them through thousands of generated stories.;English, French, German, Simplified Chinese, Japanese, Spanish - Spain;Noctiluca Studio;Noctiluca Studio;{'coming_soon': False, 'date': '23 Jan, 2024'};£6.19;;Action, Indie;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
Lust Academy - Season 3;2655960;0;False;"Full-body uncompromising adventure for true magic lovers. &quot;Lust Academy - 3&quot; is more than just the sequel of the Lust Academy saga! It's a new, incredible story with fresh and well-known heroes. More feels, more believability, and more passion.";English, Simplified Chinese;Bear in the Night;Bear in the Night;{'coming_soon': False, 'date': '27 May, 2024'};£11.51;;Adventure, Casual, Indie;Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing;
Loop Queen-Escape Dungeon 3;1950450;18;False;The queen may have Fiara's protection, but the Misty Forest is a dangerous place. Any mistake could cause the queen and her captors to appear in massive Live2D animated CGs. You may even be forced to participate...;English, Japanese, Simplified Chinese, Traditional Chinese, Russian, Korean;Hide Games;Hide Games, PlayMeow;{'coming_soon': False, 'date': '8 Jan, 2024'};£16.75;;Indie, RPG, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing;
Anonymous Hacker Simulator;2487060;0;False;Step into the shoes of a skilled Anonymous hacker and embark on a mission to unveil the truth hidden behind a sinister organization's plans to monitor civilian data and enforce mass surveillance.;English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Turkish, Korean;Sicarius;G-DEVS.com, CreativeForge Games;{'coming_soon': False, 'date': '3 Apr, 2024'};£16.75;;Indie, Simulation;Single-player, Steam Achievements, Steam Trading Cards, Family Sharing;
KINGDOM HEARTS HD 2.8 Final Chapter Prologue;2552440;0;False;KINGDOM HEARTS HD 2.8 Final Chapter Prologue features 3 magical experiences, all leading up to KINGDOM HEARTS III.;English, French, Italian, German, Spanish - Spain, Japanese;Square Enix;Square Enix;{'coming_soon': False, 'date': '13 Jun, 2024'};CDN$ 79.99;;Action, Adventure, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Contractors Showdown;2719160;0;False;Jump into an intense VR battle royale where strategy and skill determine survival. Navigate dynamic environments, scavenge for weapons, and outsmart your opponents in a fight to be the last one standing. Fast-paced, tactical, and endlessly thrilling - are you ready for the ultimate showdown?;English, French, German, Spanish - Spain, Japanese, Korean, Simplified Chinese;Caveman Studio;Caveman Studio;{'coming_soon': False, 'date': '25 Apr, 2024'};£15.49;;Action, Simulation;Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, In-App Purchases, Family Sharing;
SaGa Emerald Beyond ;2085000;0;False;FORGE YOUR OWN TALE The latest standalone entry in the SaGa franchise, SaGa Emerald Beyond, brings together the very best elements of the beloved series to offer each player their own unique gameplay experience.;English, Japanese;Square Enix;Square Enix;{'coming_soon': False, 'date': '25 Apr, 2024'};£39.99;;RPG;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
Dream Engines: Nomad Cities;1076750;0;False;A survival city-building game with flying cities. Build, automate, and defend a flying city that travels between procedurally generated maps to survive in a wacky, nightmare-infested, post-apocalyptic world full of strange science and dreams.;English, French, German, Simplified Chinese, Russian, Japanese, Traditional Chinese;Suncrash;Suncrash, Gamera Games;{'coming_soon': False, 'date': '9 May, 2024'};£24.99;;Indie, RPG, Simulation, Strategy;Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing;
SAMURAI WARRIORS 4 DX;2719200;0;False;"The sparks of destiny ignite in this rich depiction of the Warring States period that features a total of 55 different officers. The deluxe edition contains more than 150 previously released DLC from &quot;SAMURAI WARRIORS 4,&quot; including costumes, weapons, customization parts, scenarios, and BGM!";English, Japanese;KOEI TECMO GAMES CO., LTD.; KOEI TECMO GAMES CO., LTD.;{'coming_soon': False, 'date': '13 May, 2024'};£39.99;82.0;Action;Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
SUMMERHOUSE;2533960;0;False;A tiny building game about beautiful lived-in houses. No rules or restrictions, just pure creativity.;English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese;Friedemann;Future Friends Games;{'coming_soon': False, 'date': '8 Mar, 2024'};£3.99;;Casual, Indie, Simulation, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Self Defense Dojo;2534120;0;False;This is a simulation-style erotic game with humorous elements incorporated.;English, Japanese, Traditional Chinese;WAKUWAKU;WAKUWAKU;{'coming_soon': False, 'date': '11 Apr, 2024'};£9.99;;Casual, Indie, Simulation;Single-player, Steam Cloud, Family Sharing;
Rising Lords;835650;0;False;Rising Lords is a medieval turn-based strategy game with card and board game elements. Send your serfs to fight and die in your name... or let them prosper, and use them to your advantage!;English, French, German, Polish, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Japanese, Korean, Italian, Spanish - Spain, Portuguese - Brazil, Turkish;Argonwood;Deck13, WhisperGames;{'coming_soon': False, 'date': '18 Jan, 2024'};£16.99;69.0;Indie, Simulation, Strategy;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Full controller support, Steam Workshop, Steam Turn Notifications, Includes level editor, Family Sharing;
Ogu and the Secret Forest;1985960;0;False;Explore the wonderful world with baby Ogu! 'Ogu and the Secret Forest' is a 2D adventure game with hand-drawn characters and various types of puzzles. Befriend bouncy characters and defeat strange creatures to unravel the mystery of the charming world.;Korean, English, Japanese, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Spanish - Latin America;Moonlab Studio, Sinkhole Studio; Sinkhole Studio;{'coming_soon': False, 'date': '29 Jul, 2024'};£16.79;;Adventure;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
失业了，我获得了亿万游戏财产！;2875140;0;False;《财产》是一款真正的真人互动游戏，内嵌市场仿真的商业系统、非线性叙事恋爱养成。31天，通过投资、拍卖、收购、上市等策略打脸所有人，成就商业帝国！约会、酒吧、QTE互动、私密空间...8位风华绝代的美女将与你共度每一个难忘的夜晚~激活《财产》，打破传统，拒绝按部就班！;Simplified Chinese;Bolingogames;Bolingogames;{'coming_soon': False, 'date': '8 Aug, 2024'};£10.99;;Adventure, Indie, RPG, Simulation, Strategy;Single-player, Family Sharing;
Guardians of Eden-Embrace of the Forest;2672430;0;False;Tend to the needs of seven alluring Valkyries and defend humanity's last sanctuary in this lewd tower defense game!;Traditional Chinese, English, Japanese, Simplified Chinese, Russian, Thai, Korean;Black Cat Entertainment;Mango Party, Mango Party News;{'coming_soon': False, 'date': '7 Mar, 2024'};£9.29;;Casual, Strategy;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
STAR WARS™: Bounty Hunter™;2419090;0;False;Bring In Your Bounty, Dead or Alive;English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese;Aspyr;Aspyr;{'coming_soon': False, 'date': '31 Jul, 2024'};£16.75;;Action, Adventure;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Trans-Siberian Railway Simulator;998400;0;False;Get behind the controls of a classic Russian locomotive and see if wild animals, bad people, strong frosts and a constantly breaking locomotive is able to stop you. Try to survive on the longest railway line in the world!;English, German, Polish, Russian, French, Spanish - Spain, Simplified Chinese, Italian, Japanese, Czech, Portuguese - Portugal, Turkish, Hungarian;Pentacle; PlayWay S.A.;{'coming_soon': False, 'date': '30 May, 2024'};£13.06;;Action, Adventure, Casual, Indie, Simulation, Early Access;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
Inkulinati;957960;0;False;Inkulinati is a turn-based strategy game straight from medieval manuscripts, where a rabbit’s bum can be deadlier than a dog's sword. Become a master of the Living Ink, build your own bestiary, defeat medieval superstars and collect perks to unleash hidden powers.;English, Polish, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese;Yaza Games;Daedalic Entertainment;{'coming_soon': False, 'date': '22 Feb, 2024'};£8.79;78.0;Indie, Strategy;Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing;
Meta-Ghost: The Breaking Show;2507980;0;False;"Immerse yourself in the reality show — &quot;Breaking Show&quot;, where you engage in real-time battles with various intelligent machines using cybernetic enhancements and weapons. Whether for personal gain or lofty ideals. Fight! Until you reach the final victory on this Rogue-lite journey.";English, Simplified Chinese, Traditional Chinese;Scarecrow Studio;Flawless Gaming, Erabit;{'coming_soon': False, 'date': '24 Apr, 2024'};£14.99;;Action, Indie, RPG, Early Access;Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Family Sharing;
迷宮校舎 | School Labyrinth;2423300;0;False;School labyrinth is a 1~4 co-op horror game set in a randomly generated school at night. Cooperate with your friends and try to escape from the school building!;Japanese, English, Simplified Chinese, Korean, Spanish - Spain, Russian;RainyDollGames;RainyDollGames;{'coming_soon': False, 'date': '21 Feb, 2024'};£4.71;;Action, Indie;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Family Sharing;
Flintlock: The Siege of Dawn;1832040;0;False;From games studio A44, makers of Ashen, comes an explosive Souls-lite, where Gods and guns collide in a battle for the future of humanity.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Polish, Portuguese - Brazil;A44 Games;Kepler Interactive;{'coming_soon': False, 'date': '17 Jul, 2024'};£23.45;;Action, Adventure, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Family Sharing;
Touhou Hero of Ice Fairy;1955830;0;False;Touhou Hero of Ice Fairy is an indie game developed by GAMEPULSE.Step into the shoes of Cirno, the Hero of Ice, as she embarks on a journey against evil, liberating Gensokyo and saving her dear princess.;Simplified Chinese, English;GAMEPULSE 游戏脉冲;GAMEPULSE 游戏脉冲;{'coming_soon': False, 'date': '3 Apr, 2024'};£5.89;;Action, Adventure, Indie, RPG;Single-player, Full controller support, Family Sharing;
River Town Factory;2281410;0;False;If possible, would you like to go back to ancient times to start a factory, refine oil, or even build a large computer? With the accidental fall of a meteorite, you traveled back to River Town a thousand years ago and became a workshop owner. And the story will begin from here……;Simplified Chinese, Traditional Chinese, English, Japanese, German, Russian, Portuguese - Brazil, Portuguese - Portugal;iFAction Studio;iFAction Studio, BD Games;{'coming_soon': False, 'date': '6 Feb, 2024'};£12.79;;Indie, RPG, Simulation;Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Family Sharing;
Enishia and the Binding Brand;2582650;0;False;Enishia is a simple nun and the sole manager of the last church in Megista. However, she must pay off a mountain of debt to prevent the demolition of the church and its attached orphanage. How can she make the money she needs?;English, Japanese, Simplified Chinese;Shimobashira Workshop;Kagura Games;{'coming_soon': False, 'date': 'May 10, 2024'};$14.99;;RPG;Single-player, Steam Cloud, Family Sharing;
The Witch of Fern Island;1550010;0;False;Welcome to Fern Island! As Abrill, become immersed in the island’s culture, uncover its deepest secrets, and master magical trades. Overcome the challenges of the island to demonstrate your mastery of magic and become the most well known witch around!;English, Polish, French, German;Enjoy Studio S.A.;indie.io;{'coming_soon': False, 'date': '27 Feb, 2024'};£20.99;;Adventure, Casual, Indie, RPG, Simulation;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
Aquarist;1430760;0;False;A relaxing sandbox casual simulation game where you perform various, even strange, aquarium-related tasks on very diverse levels. As an Aquarist you must create and manage a home to amazing fish🐟, sea turtles🐢, sharks🦈, octopuses🐙, and more🐬. Aquarium is their world and life. Make it worth...;English, Polish, French, Italian, German, Spanish - Spain, Simplified Chinese, Korean, Russian, Turkish, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Norwegian, Portuguese - Portugal, Romanian, Swedish, Thai, Traditional Chinese, Ukrainian, Vietnamese;FreeMind S.A.;PlayWay S.A., FreeMind S.A.;{'coming_soon': False, 'date': '29 Mar, 2024'};£8.76;;Casual, Indie, Simulation;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
TRIBES 3: Rivals;2687970;0;False;TRIBES 3: Rivals is a team-based first person shooter that elevates the genre with jetpacks, skiing, and class-based warfare. Teamwork, tactics, high speed, and intense combat are supreme in this rebirth of the world’s fastest shooter.;English, French, German, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Ukrainian;Prophecy Games;Prophecy Games;{'coming_soon': False, 'date': '12 Mar, 2024'};£16.75;;Action, Early Access;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing;
Children of the Sun;1309950;0;False;On a deadly road trip into darkness, control the path of a single bullet and unleash a fury of vengeance on the sinister cult that ruined your life in this tactical puzzle-shooter.;English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese;René Rother;Devolver Digital;{'coming_soon': False, 'date': '9 Apr, 2024'};£12.79;81.0;Action, Indie, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Mahjong Soul;2739990;0;True;Mahjong Soul is an online game that adopted the classic Japanese Mahjong gameplay. Here, you can hone your mahjong skills with players from worldwide or spend leisure time with friends, bond with various charismatic characters, and experience an abundance of unique stories.;English, Korean, Traditional Chinese;Catfood Studio;YOSTAR HONG KONG LIMITED;{'coming_soon': False, 'date': '23 Jul, 2024'};;;Casual, Strategy;Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases;
Bulwark Evolution: Falconeer Chronicles;290100;0;False;Bulwark: Evolution mixes elements of a chill builder with grand strategy and exploration elements. It's a genre bending experimental game that can be both a peaceful building experience or a total conquest with airships, warbirds and fortresses. It's up to the player to decide.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese, Polish;Tomas Sala;Wired Productions;{'coming_soon': False, 'date': 'Mar 26, 2024'};$19.99;;Casual, Indie, Simulation, Strategy;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing;
Contra: Operation Galuga;2235020;0;False;The legendary Contra series returns! This reimagining of the classic run-'n'-gun action game from the ‘80s features new stages, new enemies, new play mechanics, and co-op combat for up to 4 players!;English, French, Italian, German, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean, Spanish - Spain;WayForward;KONAMI;{'coming_soon': False, 'date': '12 Mar, 2024'};£34.99;;Action;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing;
IN HEAT: Lustful Nights;1962890;0;False;Tired of your current job? Are you missing the thrill that made you truly appreciate life? The Diamond Straits has just what you have been looking for! Experience our many resorts, while getting a big paycheck at the same time. Work hard enough and you might just earn a VIP EXPERIENCE of your own!;English, Japanese, Korean, Simplified Chinese, Traditional Chinese, Russian;MonsterBox;Critical Bliss;{'coming_soon': False, 'date': '21 Jun, 2024'};£10.23;;Casual, Indie, Simulation, Early Access;Single-player, Full controller support, Steam Cloud, Family Sharing;
Harold Halibut;924750;0;False;Harold Halibut is a handmade narrative game about friendship and life on a city-sized spaceship submerged in an alien ocean. Join Harold as he explores a vibrant retro-future world in his quest to find the true meaning of ‘home’.;English, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Japanese, Korean, Russian, Turkish, Italian;Slow Bros.;Slow Bros.;{'coming_soon': False, 'date': '16 Apr, 2024'};£29.50;;Adventure, Casual, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, HDR available, Family Sharing;
All Quiet in the Trenches;863500;0;False;All Quiet in the Trenches is a narrative turn-based strategy RPG set in World War I. Get to know your soldiers, take care of their needs and lead them in battle, trying to strike a precarious balance between the ambitions of your superiors and the survival of your men.;English, German;Totally Not Aliens;Totally Not Aliens;{'coming_soon': False, 'date': '17 Jan, 2024'};£20.99;;Indie, RPG, Simulation, Strategy, Early Access;Single-player, Family Sharing;
Sex of Thrones 👑;2480200;0;False;Sex of Thrones is a boldly explicit 18+ Visual Novel. Dive into a realm where lust rules and power games shape destinies. Embrace intense, erotic journeys, forging your path through a world aflame with desire and cunning.;English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Polish, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Swedish, Turkish, Ukrainian, Arabic, Indonesian, Norwegian, Portuguese - Brazil, Spanish - Latin America, Thai, Traditional Chinese, Vietnamese;Taboo Tales 💘;Taboo Tales 💘;{'coming_soon': False, 'date': '25 May, 2024'};£11.80;;Adventure, Indie, RPG;Single-player, Steam Achievements, Steam Trading Cards, Family Sharing;
Ancient Warfare 3;758990;0;False;Dive into a sandbox full of action and customization! Choose from different game modes like deathmatch, conquest, king of the hill, zombie survival and many more. Create your own scenarios and content in the easy to use in-game editors or use one of the 50k+ workshop items from other players...;English;Jannik Nickel;Jannik Nickel;{'coming_soon': False, 'date': '26 Jan, 2024'};£10.99;;Action, Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing;
Mech Engineer;1428520;0;False;A dark sci-fi mech assembling manager with semi-auto battles against mutating, alien bio-weapon.;English, Russian, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Simplified Chinese;KiberKreker;MicroProse Software;{'coming_soon': False, 'date': '21 May, 2024'};£11.39;;Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Workshop, Family Sharing;
Knightly Passions;1554260;0;False;The tale of a hunter searching for his missing sister. Adventure awaits you in a world filled with bloodthirsty monsters and deadly traps. Overcome trials, battle evil, and replenish your strength surrounded by ravishing young women.;English, Russian;FEYADA;FEYADA;{'coming_soon': False, 'date': '26 Apr, 2024'};£9.99;;Adventure, Casual, Indie;Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing;
LoveCraft;2692440;0;True;Welcome to the new virtual reality! Metaverse LoveCraft is home to interesting people, fun parties, exploration and fulfilling relationships! You create your own world, from your unique persona to your exciting adventures.;English, Spanish - Spain, Spanish - Latin America, German, Korean, Portuguese - Portugal;WEALTHBIRD;WEALTHBIRD;{'coming_soon': False, 'date': '9 Apr, 2024'};;;Casual, Massively Multiplayer, RPG, Simulation;Multi-player, MMO, In-App Purchases;
SunnySide;1746930;0;False;Find harmony in the Japanese countryside as you help Sparky uncover lost memories in this modern take on the farming and life simulator. Build a thriving homestead, cultivate new relationships, and chase your own happiness in SunnySide.;English, French, German, Spanish - Spain, Japanese;RainyGames;Merge Games, Maximum Entertainment;{'coming_soon': False, 'date': '14 Jun, 2024'};£24.99;;Casual, Indie, RPG, Simulation;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
Beltmatic;2674590;0;False;Beltmatic is a casual factory game where you combine numbers using mathematical operations.;English;Notional Games;Notional Games;{'coming_soon': False, 'date': '29 Mar, 2024'};£5.89;;Casual, Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Dicefolk;1996430;0;False;Wield magical dice and build a team of powerful Chimeras to stop a mysterious evil in this tactical roguelite adventure. As a Chimera Summoner, recruit and create your perfect team of mythical beasts and command them to victory using unique dice mechanics.;English, French, German, Russian, Simplified Chinese, Spanish - Latin America, Japanese, Korean, Traditional Chinese, Portuguese - Brazil;LEAP Game Studios, Tiny Ghoul;Good Shepherd Entertainment;{'coming_soon': False, 'date': '27 Feb, 2024'};£12.79;;Casual, Indie, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Snezhinka:Sentinel Girls2;2608350;0;False;A fast-paced shooter with simple controls. Enhance your character by purchasing cards and hold the line against waves of hostile mechs as an employee of a private military company.;English, Simplified Chinese, Japanese, Korean;hinyari9;hinyari9;{'coming_soon': False, 'date': '26 Aug, 2024'};£6.00;;Action, Indie;Single-player, Steam Achievements, Full controller support, Family Sharing;
Garten of Banban 7;2693060;0;False;Explore the monster-occupied levels of Banban’s Kindergarten. Survive the dreads that reside below as you are now completely on your own. Uncover the truth behind the place, and find the whereabouts of your missing child…;English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Finnish, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Turkish, Ukrainian, Bulgarian;Euphoric Brothers;Euphoric Brothers;{'coming_soon': False, 'date': '10 May, 2024'};£8.50;;Action, Adventure, Casual, Indie;Single-player, Partial Controller Support, Family Sharing;
Anomaly Agent;2378620;0;False;ANOMALY AGENT is a cyberpunk action-adventure featuring fluid combat, a time-bending story, quirky characters and a catchy synthwave soundtrack! Punch or shoot through mobs of enemies, impact the story with your choices and stop the anomalies before the world plunges into chaos!;English, Spanish - Spain, Simplified Chinese, Turkish, Portuguese - Brazil, Russian, French, German, Japanese, Spanish - Latin America, Traditional Chinese;Phew Phew Games;Phew Phew Games, GameDev.ist;{'coming_soon': False, 'date': '24 Jan, 2024'};£4.99;84.0;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Withering Rooms;2006140;0;False;Withering Rooms is a challenging 2.5D horror RPG set in a procedurally generated Victorian mansion that changes each night. Explore Mostyn House to collect the perfect items for your build and face a huge cast of overgrown undead, invisible ghosts, devious witches, and more.;English, German, Japanese, French, Spanish - Spain;Moonless Formless;Perp Games;{'coming_soon': False, 'date': '5 Apr, 2024'};£14.99;;Action, Adventure, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Clothing Store Simulator;2923390;0;False;Are you ready to shape fashion world? Make a brand deal, order products, fill the aisles, dress the mannequins and start selling. Dresses, shirts, coats, pants, nightwear, underwear, shoes and more are waiting for you.;English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian;Kiki Games;Kiki Games;{'coming_soon': False, 'date': '17 Jun, 2024'};£10.99;;Casual, Indie, Simulation, Early Access;Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing;
Sketchy's Contract;2823080;0;False;A 1-8 player co-op sci-fi looter horror game that takes place on a mysterious asteroid belt where players must complete contracts by traveling to exotic planets to kill creatures, find loot, and/or farm planetary materials that they must return to an ominous figure named Sketchy.;English;Dimensionless Games;Dimensionless Games;{'coming_soon': False, 'date': '9 Apr, 2024'};£5.24;;Action, Adventure, Indie, Early Access;Single-player, Multi-player, Co-op, Online Co-op, Steam Cloud, Family Sharing;
Dealer Simulator;2625620;0;False;Dealer Simulator invites you to a world where your bargaining skills will be tested to the limits, and you'll never know what lies behind each door. Are you ready to become a top-tier trader? Join the warehouse adventure with Dealer Simulator!;English, Turkish, French, German;Quadfix Games;Quadfix Games;{'coming_soon': False, 'date': '29 Jan, 2024'};£11.79;;Casual, Indie, Simulation, Early Access;Single-player, Steam Achievements, Family Sharing;
First Cut: Samurai Duel;2193490;0;False;Every strike is lethal in this blood-soaked sword fighting game. Slash, clash, parry, dodge and watch limbs fly. Choose your move carefully - the first cut is also the last.;English;Night Eyes Interactive;Night Eyes Interactive;{'coming_soon': False, 'date': '17 Jan, 2024'};£7.49;;Action, Indie;Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play Together, Family Sharing;
Godsworn;1328990;0;False;Godsworn is a classic mythological RTS. Experience an epic fantasy retelling of the Baltic Crusades, where pagan gods and their tribes clash against crusaders and armies of heaven. Choose a divine hero, rally worshippers alongside mythical creatures, and smite the unworthy!;English;Thunderoak Interactive;Thunderoak Interactive;{'coming_soon': False, 'date': '28 Mar, 2024'};£24.99;;RPG, Strategy, Early Access;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing;
