,name,releasedate,copiessold,price_x,revenue,avgplaytime,reviewscore,publisherclass,publishers_x,developers_x,steamid,appid,estimated owners,peak ccu,required age,price_y,discount,dlc count,supported languages,full audio languages,windows,mac,linux,positive,negative,achievements,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,single-player,multi-player,indie,early access,free to play,simulation,sports,action,strategy,adventure,rpg,massively multiplayer,casual,racing,jrpg
1217,"braid, anniversary edition",14-05-2024,28250,19.99,302053.0,5.463457597179698,95,Indie,"Thekla, Inc.","Thekla, Inc.",499180,499180,20000 - 50000,187,0,19.99,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Simplified Chinese']","['English', 'Simplified Chinese']",True,False,False,309,15,13,328,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1218,isles of sea and sky,22-05-2024,18161,19.99,301453.0,10.816936790814603,92,Indie,"Cicada Games,Gamera Games",Cicada Games,1233070,1233070,100000 - 200000,560,0,17.99,0,1,"['English', 'Simplified Chinese', 'French', 'German', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Ukrainian', 'Italian', 'Polish', 'Spanish - Spain']",[],True,False,False,138,7,17,184,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1219,bingle bingle,18-03-2024,30163,10.99,301311.0,3.3555247951829443,87,Indie,Knitting Games,Knitting Games,2789810,2789810,0 - 20000,117,0,9.89,0,0,['English'],[],True,False,True,79,5,0,103,0,0,0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
1220,wings of seduction: bust 'em out!,19-07-2024,29429,12.99,299544.0,8.826653736954144,96,Indie,"Hide Games,Ramen Cat Studio",Ramen Cat Studio,2455140,2455140,0 - 20000,1115,0,11.04,0,2,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Turkish', 'Russian', 'Polish', 'Portuguese - Brazil']","['Japanese', 'Portuguese - Brazil']",True,False,False,0,0,69,121,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1221,vigor,16-05-2024,16585,19.99,298380.0,17.057238219828335,54,AA,Bohemia Interactive,Bohemia Interactive,2818260,2818260,100000 - 200000,517,0,19.99,0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Portuguese - Brazil', 'Russian']","['English', 'Russian']",True,False,False,289,303,0,508,0,0,0,0,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1222,hololive treasure mountain,31-07-2024,36003,8.99,291300.0,8.571670578322678,97,Indie,holo Indie,BeXide Inc.,2972990,2972990,0 - 20000,697,0,8.99,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",['Japanese'],True,True,False,124,4,33,152,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1223,new star gp,07-03-2024,16009,29.99,286736.0,8.869371110870562,0,Indie,Five Aces Publishing Ltd.,New Star Games Ltd.,2217580,2217580,0 - 20000,5,0,17.99,0,0,['English'],[],True,False,False,134,5,50,128,0,0,0,0,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False
1224,kill it with fire 2,16-04-2024,22552,14.99,286580.0,5.995546638251118,95,AA,tinyBuild,Casey Donnellan Games LLC,2357000,2357000,0 - 20000,202,0,13.49,0,1,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Portuguese - Brazil', 'Korean', 'Russian']","['English', 'Russian']",True,False,False,141,7,25,176,0,0,0,0,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False
1225,factory town idle,08-01-2024,74350,4.99,284695.0,39.89461498709381,91,Indie,Erik Asmussen,Erik Asmussen,2207490,2207490,0 - 20000,633,0,4.49,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Turkish']",[],True,True,False,47,3,0,0,0,0,0,0,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False
1226,our adventurer guild,12-04-2024,23699,14.99,284501.0,39.46176078042124,100,Indie,GreenGuy,GreenGuy,2026000,2026000,0 - 20000,5,0,9.99,0,0,['English'],['English'],True,False,False,3,0,0,0,0,0,0,0,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False
