,name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,AppID,Genres
11,age of mythology: retold,04-09-2024,236419,29.99,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680,1934680,Strategy
12,another crab's treasure,25-04-2024,264723,29.99,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840,1887840,"Action,Adventure,Indie"
13,homeworld 3,13-05-2024,102487,59.99,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080,1840080,"Simulation,Strategy"
14,nine sols,28-05-2024,214407,29.99,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540,1809540,"Action,Adventure,Indie"
15,outpost: infinity siege,26-03-2024,278031,24.99,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690,1566690,"Action,Strategy"
16,sker ritual,18-04-2024,267953,24.99,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070,1492070,"Action,Adventure,Indie"
17,shapez 2,15-08-2024,261028,24.99,4810868.0,16.307715687349233,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800,2162800,"Casual,Indie,Simulation,Strategy,Early Access"
18,senua’s saga: hellblade ii,21-05-2024,107010,49.99,4747832.0,5.160077378916766,88,AAA,Xbox Game Studios,Ninja Theory,2461850,2461850,"Action,Adventure"
19,pixel gun 3d: pc edition,02-04-2024,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890,2524890,"Action,Adventure,Massively Multiplayer,Free To Play"
20,backpack battles,08-03-2024,499559,12.99,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700,2427700,"Strategy,Early Access"
21,crime scene cleaner,14-08-2024,285596,19.99,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200,1040200,"Action,Simulation"
22,kebab chefs! - restaurant simulator,19-01-2024,312189,17.99,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270,1001270,"Simulation,Early Access"
23,predecessor,20-08-2024,433605,0.0,4523839.944318563,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200,961200,"Action,Strategy,Free To Play"
24,palia,25-03-2024,881082,0.0,4263470.0,47.02791482592875,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930,2707930,"Adventure,Casual,Indie,RPG,Simulation,Free To Play"
25,"little kitty, big city",09-05-2024,206880,24.99,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980,1177980,"Adventure,Casual,Indie,Simulation"
26,secrets of grindea,29-02-2024,314988,14.99,4161183.0,21.69826525906877,90,Indie,Pixel Ferrets,Pixel Ferrets,269770,269770,"Action,Adventure,Indie,RPG"
27,chrono ark,02-05-2024,301197,24.99,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930,1188930,"Adventure,Indie,RPG,Strategy"
28,nova drift,12-08-2024,445361,17.99,4047331.0,24.72868457429413,96,Indie,Pixeljam,Chimeric,858210,858210,"Action,Indie"
29,kingdom rush 5: alliance td,25-07-2024,245264,19.99,4042356.0,9.09008744972337,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080,2849080,"Indie,Strategy"
30,norland,18-07-2024,170621,29.99,3991591.0,18.46350698089453,79,AA,Hooded Horse,Long Jaunt,1857090,1857090,"Simulation,Strategy,Early Access"
